% Module: Scope, ID: c0p1t6p1cfm0
% Device: DEV4810
% Time: 2026/03/10 11:37:25
% 波形 通道1, /dev4810/scopes/0/wave.0
% 时间 (s); 波形 通道1  波形 (V)
0.2957345333333333; 0.531678676605
0.2958028; 0.531809926033
0.2958710666666667; 0.531809926033
0.2959393333333333; 0.531941175461
0.2960076; 0.531973958015
0.2960758666666667; 0.532039582729
0.2961441333333333; 0.532105267048
0.2962124; 0.532236516476
0.2962806666666667; 0.532334923744
0.2963489333333333; 0.532400548458
0.2964172; 0.532433390617
0.2964854666666666; 0.532531797886
0.2965537333333333; 0.532564640045
0.2966220000000001; 0.5325974226
0.2966902666666666; 0.532728672028
0.2967585333333334; 0.532794296741
0.2968268000000001; 0.532892763615
0.2968950666666667; 0.532925605774
0.2969633333333334; 0.533024013042
0.2970316000000001; 0.533089637756
0.2970998666666667; 0.53315526247
0.2971681333333334; 0.533220887184
0.2972364000000001; 0.533286511898
0.2973046666666667; 0.533319354057
0.2973729333333334; 0.533450603485
0.2974412000000001; 0.533450603485
0.2975094666666667; 0.533549010754
0.2975777333333334; 0.533647477627
0.2976460000000001; 0.533680319786
0.2977142666666667; 0.533778727055
0.2977825333333334; 0.533778727055
0.2978508000000001; 0.533909976482
0.2979190666666667; 0.533942818642
0.2979873333333334; 0.53404122591
0.2980556; 0.534139692783
0.2981238666666667; 0.534205317497
0.2981921333333334; 0.534238100052
0.2982604; 0.534270942211
0.2983286666666667; 0.534336566925
0.2983969333333334; 0.53436934948
0.2984652; 0.534467816353
0.2985334666666667; 0.534566283226
0.2986017333333334; 0.53463190794
0.29867; 0.534697532654
0.2987382666666667; 0.534730315208
0.2988065333333334; 0.534795939922
0.2988748; 0.53492718935
0.2989430666666667; 0.53492718935
0.2990113333333334; 0.535025656223
0.2990796; 0.535091280937
0.2991478666666667; 0.535124063492
0.2992161333333334; 0.535156905651
0.2992844; 0.535320997238
0.2993526666666667; 0.535320997238
0.2994209333333334; 0.535452246666
